City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,as sulayyil,20.4607,45.5779,37.14,11,100,1.3,SA,1722111784
1,tamanrasset,22.785,5.5228,33.95,17,40,2.06,DZ,1722111784
2,puerto natales,-51.7236,-72.4875,0.25,86,75,5.14,CL,1722111685
3,santa ana,33.7456,-117.8678,33.22,57,20,4.63,US,1722111318
4,jumla,29.2747,82.1838,16.14,91,100,0.55,NP,1722111785
5,mount gambier,-37.8333,140.7667,6.96,83,95,2.36,AU,1722111785
6,essaouira,31.5125,-9.77,23.72,83,40,5.14,MA,1722111786
7,katsuren-haebaru,26.3369,127.8719,29.43,86,40,5.66,JP,1722111786
8,talnakh,69.4865,88.3972,13.88,70,2,2.48,RU,1722111786
9,margaret river,-33.95,115.0667,15.35,82,50,9.6,AU,1722111696
10,jamestown,42.097,-79.2353,28.62,38,0,0.0,US,1722111787
11,adamstown,-25.066,-130.1015,20.99,78,18,6.83,PN,1722111687
12,pozanti,37.4278,34.8717,22.53,43,10,4.83,TR,1722111787
13,bamboo flat,11.7,92.7167,29.05,84,75,6.69,IN,1722111788
14,ust-nera,64.5667,143.2,14.26,52,44,2.09,RU,1722111688
15,waitangi,-43.9535,-176.5597,11.01,86,47,1.34,NZ,1722111684
16,tiksi,71.6872,128.8694,5.13,84,89,1.94,RU,1722111739
17,edinburgh of the seven seas,-37.0676,-12.3116,13.97,82,93,8.36,SH,1722111701
18,grand-lahou,5.1367,-5.0242,23.94,93,53,4.49,CI,1722111789
19,taro,-8.3862,115.28,18.56,100,95,0.71,ID,1722111789
20,tralee,52.2704,-9.7026,13.28,89,44,2.02,IE,1722111713
21,sao joao da barra,-21.6403,-41.0511,26.05,77,8,6.19,BR,1722111790
22,yuzhno-kurilsk,44.0306,145.8556,15.08,99,100,2.99,RU,1722111715
23,hermanus,-34.4187,19.2345,9.89,70,100,11.83,ZA,1722111698
24,ilulissat,69.2167,-51.1,10.01,46,20,2.06,GL,1722111696
25,port elizabeth,-33.918,25.5701,15.73,88,3,5.81,ZA,1722111729
26,tchaourou,8.8865,2.5975,23.23,94,96,1.91,BJ,1722111791
27,hasaki,35.7333,140.8333,26.27,97,100,3.24,JP,1722111743
28,invercargill,-46.4,168.35,8.34,98,100,0.89,NZ,1722111689
29,malvan,16.0667,73.4667,27.06,85,100,7.22,IN,1722111792
30,port-aux-francais,-49.35,70.2167,1.31,73,100,15.79,TF,1722111685
31,la palma,33.8464,-118.0467,33.39,59,0,4.63,US,1722111792
32,ushuaia,-54.8,-68.3,-1.19,93,100,11.83,AR,1722111535
33,nha trang,12.25,109.1833,28.0,72,100,1.85,VN,1722111793
34,enewetak,11.3474,162.3373,28.33,80,42,7.98,MH,1722111793
35,ojinaga,29.5667,-104.4167,36.53,20,0,1.54,MX,1722111793
36,bilibino,68.0546,166.4372,8.91,65,45,1.39,RU,1722111695
37,fisterra,42.9049,-9.2629,22.23,84,78,8.03,ES,1722111685
38,papatowai,-46.5619,169.4708,9.58,94,100,1.47,NZ,1722111749
39,fort bragg,35.139,-79.006,30.38,51,0,3.09,US,1722111794
40,st. john's,47.5649,-52.7093,17.66,74,20,3.09,CA,1722111651
41,utrik,11.2278,169.8474,28.05,80,57,7.19,MH,1722111689
42,hithadhoo,-0.6,73.0833,28.73,77,86,4.66,MV,1722111796
43,flying fish cove,-10.4217,105.6791,24.82,88,100,5.14,CX,1722111698
44,chonchi,-42.6128,-73.8092,6.56,68,16,2.6,CL,1722111687
45,crane,31.3974,-102.3501,33.85,25,7,6.96,US,1722111797
46,kingston,17.997,-76.7936,34.53,55,20,9.77,JM,1722111442
47,dunedin,-45.8742,170.5036,8.78,72,100,1.65,NZ,1722111797
48,labytnangi,66.6572,66.4183,13.98,92,100,7.33,RU,1722111797
49,tongchuanshi,35.0806,109.0897,24.81,58,92,2.42,CN,1722111798
50,magadi,12.9667,77.2333,23.09,81,100,7.59,IN,1722111798
51,murzuq,25.9155,13.9184,34.77,23,23,5.65,LY,1722111798
52,villiers,-27.0303,28.6006,9.35,26,0,1.95,ZA,1722111799
53,iqaluit,63.7506,-68.5145,11.85,54,75,7.2,CA,1722111686
54,klyuchi,52.2667,79.1667,20.71,63,100,2.61,RU,1722111719
55,tura,25.5198,90.2201,25.74,93,100,2.8,IN,1722111754
56,grytviken,-54.2811,-36.5092,0.1,94,96,5.69,GS,1722111699
57,morant bay,17.8815,-76.4093,34.79,75,62,6.24,JM,1722111802
58,mejit,10.2753,170.8646,28.14,80,50,7.4,MH,1722111728
59,goulburn,-34.75,149.7167,2.66,89,77,2.68,AU,1722111676
60,port alfred,-33.5906,26.891,17.18,45,1,4.6,ZA,1722111693
61,punata,-17.55,-65.8333,24.88,28,0,3.15,BO,1722111803
62,abalak,58.1286,68.5944,12.27,96,82,2.98,RU,1722111803
63,paso del toro,19.0333,-96.1167,31.79,60,40,4.12,MX,1722111803
64,avarua,-21.2078,-159.775,26.03,83,75,4.63,CK,1722111708
65,puerto ayora,-0.7393,-90.3518,23.98,92,100,2.24,EC,1722111686
66,punta arenas,-53.15,-70.9167,0.06,93,100,13.38,CL,1722111804
67,portland,45.5234,-122.6762,25.55,52,99,1.34,US,1722111273
68,aasiaat,68.7098,-52.8699,3.78,77,58,4.24,GL,1722111708
69,nema,57.5067,50.5011,10.41,91,84,3.02,RU,1722111805
70,college,64.8569,-147.8028,13.37,81,100,7.2,US,1722111690
71,sisimiut,66.9395,-53.6735,5.75,76,100,4.8,GL,1722111805
72,udachny,66.4167,112.4,15.4,75,70,1.87,RU,1722111725
73,cabo san lucas,22.8909,-109.9124,36.17,38,0,5.66,MX,1722111650
74,albany,42.6001,-73.9662,29.4,44,2,0.45,US,1722111245
75,kodiak,57.79,-152.4072,12.73,76,0,3.09,US,1722111710
76,carnarvon,-24.8667,113.6333,17.88,55,0,2.73,AU,1722111745
77,hami,42.8,93.45,29.27,24,12,2.54,CN,1722111807
78,bethel,41.3712,-73.414,29.54,50,20,0.45,US,1722111685
79,vilyuchinsk,52.9306,158.4028,13.15,88,76,0.56,RU,1722111807
80,sarpol-e zahab,34.4611,45.8626,29.47,26,0,1.21,IR,1722111807
81,qaqortoq,60.7167,-46.0333,4.69,94,98,1.83,GL,1722111686
82,ixtapa,20.7,-105.2,32.35,62,40,4.63,MX,1722111808
83,motueka,-41.1333,173.0167,8.39,86,46,1.39,NZ,1722111808
84,richards bay,-28.783,32.0377,21.76,63,0,5.44,ZA,1722111809
85,broome,42.2506,-75.833,28.14,45,40,2.24,US,1722111809
86,kapuskasing,49.4169,-82.4331,31.05,48,75,7.2,CA,1722111711
87,howrah,22.5892,88.3103,29.0,89,75,2.06,IN,1722111809
88,hun,29.1268,15.9477,31.69,22,0,7.15,LY,1722111810
89,pisco,-13.7,-76.2167,18.03,77,0,3.6,PE,1722111734
90,sitka,57.0531,-135.33,13.94,94,100,3.09,US,1722111697
91,yellowknife,62.456,-114.3525,25.79,45,20,3.6,CA,1722111692
92,luderitz,-26.6481,15.1594,14.61,74,79,4.46,NA,1722111811
93,west island,-12.1568,96.8225,26.99,89,40,9.26,CC,1722111703
94,zalingei,12.9096,23.4741,22.13,90,90,1.98,SD,1722111812
95,sanok,49.5557,22.2056,22.46,64,90,2.93,PL,1722111812
